STUID,GENDER,ETHNICITYID,DISTRICTID,FEEDERID,PROGRAMSTART,PROGRAMSTATUSID,GRADDATE,PROGRAMEND
1,F,8,393,107,9/26/2000,1,,
4,F,8,75,107,8/20/2001,2,6/13/2004,5/27/2004
89,M,8,75,164,1/17/2005,3,,
113,M,8,393,164,8/20/2001,3,,
551,M,13,393,164,8/20/2008,4,,
639,M,8,75,104,8/12/2013,3,,
653,M,8,75,164,8/1/2001,3,,1/15/2002
749,M,9,393,164,8/13/2007,3,,
1217,F,13,393,148,1/18/2001,2,6/13/2004,5/27/2004
1303,M,10,38,164,8/19/2002,2,6/11/2006,5/19/2006
1353,M,9,393,104,8/20/2001,1,,
1652,M,8,393,116,8/20/2001,3,,
2030,F,15,393,143,1/19/2002,1,,
2077,M,8,75,93,8/20/2001,3,,
2158,M,10,393,155,3/25/2011,2,6/11/2016,5/16/2016
2515,M,13,25,152,8/13/2007,4,,
2694,M,8,393,143,1/1/2020,3,,
2695,M,8,393,164,8/1/2022,1,,
2788,M,8,393,164,5/27/2011,3,,
2792,M,8,393,164,1/16/2006,2,6/9/2007,5/19/2006
3136,M,8,75,152,8/19/2013,3,,
3301,M,13,75,700,8/20/2001,3,,
3573,M,12,393,104,8/19/2002,1,,
3593,F,13,394,152,8/6/2002,1,,
3641,M,8,38,164,1/13/2003,2,6/18/2005,5/30/2005
3642,M,8,38,700,1/19/2009,3,,
3845,F,13,393,134,8/6/2002,2,12/11/2004,12/11/2004
3864,M,8,75,700,7/30/2004,1,,
3874,M,8,75,164,8/17/2009,4,,
3880,F,8,186,152,8/6/2002,1,,
4258,M,8,75,152,8/14/2006,2,1/28/2012,5/24/2011
4369,M,8,38,164,5/18/2010,1,,
4370,M,8,38,156,8/16/2010,2,10/23/2021,5/20/2021
4395,M,11,393,164,8/15/2005,1,,
4396,F,10,186,164,8/18/2008,4,,
4407,M,15,75,700,8/16/2002,2,6/18/2005,5/30/2005
4446,F,15,393,164,8/16/2004,2,6/11/2006,5/19/2006
4484,M,13,393,164,8/18/2003,2,6/18/2005,5/30/2005
4508,F,10,186,700,1/13/2003,1,,
4518,M,8,393,164,8/18/2003,2,6/18/2005,5/30/2005
4538,M,14,75,128,1/13/2003,2,6/11/2006,5/19/2006
4566,M,13,393,117,1/13/2003,2,6/11/2006,5/19/2006
4584,M,8,75,164,8/18/2008,3,,
4602,M,12,393,104,8/18/2003,2,6/14/2008,5/19/2008
4639,M,13,393,104,8/18/2003,2,6/14/2008,5/19/2008
4672,F,13,75,142,8/18/2003,2,6/11/2006,5/19/2006
4699,M,8,393,93,8/18/2003,1,,
4706,M,8,393,164,1/1/2021,5,,
4716,M,13,393,164,8/16/2004,2,6/9/2007,5/18/2007
4751,M,13,75,120,8/18/2003,1,,
4758,M,10,393,126,8/18/2003,2,6/14/2008,5/19/2008
4788,M,8,75,152,8/13/2007,3,,
4798,F,9,75,107,8/18/2003,3,,
4818,M,8,75,120,8/18/2003,3,,
4829,M,13,75,166,8/18/2003,3,,
4859,F,8,75,152,8/13/2007,1,,
4869,M,13,394,121,8/18/2003,3,,
4880,M,8,38,126,8/18/2003,2,6/11/2006,5/19/2006
4920,F,10,75,164,8/18/2008,4,,
4929,M,11,393,158,1/14/2008,3,,
4934,M,10,394,98,8/18/2003,2,7/18/2008,5/19/2008
4963,F,14,38,155,8/18/2003,2,6/18/2005,5/30/2005
4987,M,8,393,104,8/18/2003,2,6/9/2007,5/19/2006
5016,M,8,75,152,8/18/2003,3,,
5031,M,10,75,166,12/15/2005,3,,
5055,M,12,186,164,1/17/2011,1,,
5056,M,12,186,158,8/18/2003,1,,
5091,M,13,393,142,8/18/2003,2,6/18/2005,5/30/2005
5116,M,8,393,164,8/13/2007,3,,
5125,M,13,393,132,8/18/2003,3,,
5142,F,8,393,104,1/17/2005,1,,
5148,M,12,393,152,8/18/2003,2,12/7/2006,12/7/2006
5165,M,13,25,135,8/18/2003,1,,
5167,M,13,393,164,8/16/2004,3,,
5181,F,13,393,142,8/18/2003,3,,
5207,M,13,393,119,8/18/2003,2,6/11/2006,5/19/2006
5237,F,8,38,155,8/18/2003,2,12/14/2007,5/30/2005
5261,M,14,393,700,8/18/2003,3,,
5265,F,8,393,104,8/18/2003,3,,
5287,M,14,393,164,8/18/2003,2,12/7/2006,12/7/2006
5320,F,14,393,164,8/17/2009,2,6/18/2011,5/24/2011
5337,F,13,393,104,8/18/2003,1,,
5359,M,14,25,152,8/15/2005,1,,
5385,F,8,393,164,8/14/2006,3,,
5388,M,8,393,169,1/20/2014,3,,
5394,M,8,75,148,1/17/2005,1,,
5400,F,8,393,164,6/29/2005,3,,
5455,M,13,75,700,7/30/2004,3,,
5464,M,10,75,93,8/1/2019,5,,
5483,M,8,75,120,5/27/2012,3,,
5501,M,15,75,148,8/15/2005,2,6/9/2007,5/18/2007
5523,M,8,75,700,7/30/2004,3,,
5529,M,13,25,700,8/16/2004,3,,
5546,F,8,25,700,8/16/2004,3,,
5555,M,13,25,700,7/30/2004,3,,
5570,M,8,75,148,8/18/2008,4,,
5576,F,12,186,127,8/16/2004,1,,
5595,F,12,186,700,7/30/2004,3,,
5606,M,10,75,700,7/30/2004,3,,
5616,M,15,75,123,8/16/2004,2,6/11/2006,5/19/2006
5642,M,13,25,164,8/15/2005,1,,
5661,M,15,393,123,8/16/2004,2,6/11/2006,5/19/2006
5686,M,8,393,700,7/30/2004,3,,
5696,F,13,393,101,8/16/2004,1,,
5702,M,8,393,104,8/18/2008,3,,
5713,M,16,393,700,8/16/2004,4,,
5735,M,13,393,700,7/30/2004,4,,
5763,M,13,393,119,8/16/2004,2,6/20/2009,5/26/2009
5800,M,8,75,93,8/16/2004,3,,
5819,M,14,25,700,8/16/2004,1,,
5826,F,8,38,700,8/16/2004,1,,
5833,F,8,38,700,7/30/2004,3,,
5845,M,8,393,104,8/16/2004,2,6/9/2007,5/18/2007
5874,M,13,393,700,8/16/2004,2,6/11/2006,5/19/2006
5900,M,10,393,164,8/15/2005,2,6/14/2008,5/19/2008
5923,M,13,393,104,8/16/2004,2,6/11/2006,5/19/2006
5948,M,14,394,116,8/16/2004,2,6/11/2006,5/19/2006
5973,M,14,393,700,1/5/2005,3,,
5976,M,13,75,700,7/30/2004,3,,
5987,M,13,393,700,7/30/2004,3,,
6013,M,8,38,700,7/30/2004,3,,
6018,M,9,38,148,8/16/2004,3,,
6069,M,13,393,164,1/17/2005,1,,
6081,F,13,393,164,1/26/2004,2,6/11/2006,5/19/2006
6096,F,13,393,164,1/17/2005,2,6/11/2006,5/19/2006
6111,M,8,75,152,8/16/2004,2,6/11/2006,5/19/2006
6128,M,15,75,123,8/16/2004,2,6/11/2006,5/19/2006
6153,M,10,75,148,1/17/2005,2,7/24/2009,7/24/2009
6191,M,15,75,700,1/5/2005,3,,
6195,M,9,75,107,1/17/2005,1,,
6229,F,8,75,142,1/6/2005,3,,
