STUID,COURSEID,COURSEGRADEID,ENROLLEDSEMESTERID
1,1,1,1
1,2,2,1
1,3,3,1
4,4,4,2
4,5,1,3
4,6,4,4
4,7,5,1
4,8,6,5
4,6,4,1
4,9,4,2
4,7,4,5
4,10,7,2
4,11,8,3
4,12,4,3
4,5,3,4
4,13,7,6
4,14,3,2
4,6,1,3
4,15,2,3
4,16,8,5
4,15,4,4
4,8,4,1
4,17,3,6
4,18,8,6
89,19,3,7
89,20,1,7
89,21,6,8
89,3,5,9
89,22,8,10
89,23,9,11
89,24,7,12
89,25,9,13
89,26,4,14
89,27,4,15
89,28,5,10
89,20,1,16
89,29,7,17
89,30,10,18
89,31,9,11
89,32,3,12
89,20,4,8
89,33,11,19
89,1,4,17
89,1,7,18
89,12,3,20
89,34,5,20
89,22,9,13
89,19,1,16
113,11,11,3
113,32,3,21
113,2,3,2
113,24,2,3
113,30,3,18
113,35,2,18
113,35,7,22
113,6,1,21
113,31,10,21
113,36,3,20
113,30,2,2
113,23,4,2
113,1,2,23
113,7,8,23
113,3,8,23
113,37,8,22
113,12,8,22
113,29,1,2
113,9,1,2
113,3,2,5
113,29,4,5
113,1,7,18
113,14,8,20
113,38,8,24
113,9,2,5
113,11,4,4
113,12,2,4
113,24,4,4
113,31,6,18
113,4,3,20
113,39,4,20
551,40,12,11
551,34,8,11
551,41,1,11
551,42,12,11
639,43,1,16
639,44,1,16
639,25,1,16
639,21,1,16
639,45,1,16
653,46,9,5
653,47,11,3
653,48,3,3
653,49,9,5
653,29,9,5
653,50,11,3
749,1,6,9
749,41,1,9
749,35,13,9
1217,42,9,2
1217,48,7,5
1217,12,7,4
1217,24,3,4
1217,23,3,5
1217,37,8,4
1217,6,7,1
1217,16,3,1
1217,8,3,1
1217,17,7,6
1217,13,3,6
1217,38,3,6
1217,5,7,4
1217,7,7,1
1217,3,8,1
1217,29,5,5
1217,4,5,1
1217,14,3,6
1217,18,7,6
1217,51,9,2
1217,30,5,5
1217,2,8,5
1217,15,8,4
1217,52,9,2
1217,9,3,5
1217,11,3,4
1217,10,5,25
1303,13,3,17
1303,4,5,18
1303,53,8,18
1303,9,7,5
1303,12,7,4
1303,11,3,6
1303,17,3,6
1303,10,3,23
1303,54,3,18
1303,7,8,23
1303,37,3,4
1303,6,3,1
1303,16,7,1
1303,14,8,17
1303,55,11,18
1303,56,7,5
1303,18,8,6
1303,57,3,23
1303,58,3,17
1353,30,1,2
1353,2,11,2
1353,29,11,2
1353,11,1,4
1353,59,7,26
1353,60,8,26
1353,41,11,2
1353,61,7,26
1353,48,1,2
1353,62,7,26
1353,63,7,26
1353,23,1,2
1353,29,4,4
1353,9,14,2
1652,23,3,2
1652,9,4,2
1652,24,4,3
1652,15,11,3
1652,30,2,2
1652,29,4,2
1652,11,4,3
1652,12,2,3
1652,5,1,3
1652,3,8,5
1652,5,2,27
1652,14,14,18
1652,38,1,18
1652,2,5,2
1652,10,15,5
1652,4,11,5
1652,14,9,23
1652,4,1,18
1652,48,8,2
1652,38,9,23
1652,6,1,3
1652,4,9,23
1652,24,8,9
1652,38,8,9
1652,14,2,9
2030,64,5,5
2030,12,3,4
2030,16,4,1
2030,18,4,6
2030,11,8,4
2030,6,2,4
2030,13,7,6
2030,65,10,6
2030,10,5,5
2030,15,4,4
2077,41,8,2
2077,30,2,2
2077,23,1,2
2077,34,1,12
2077,66,4,2
2077,52,1,12
2158,43,7,13
2158,60,7,14
2158,22,8,14
2158,19,8,15
2158,20,3,16
2158,33,6,14
2158,67,8,15
2158,20,7,15
2158,33,1,10
2158,68,3,16
2158,27,11,7
2158,25,3,13
2158,69,10,14
2158,70,3,14
2158,71,5,15
2158,72,4,10
2158,73,8,10
2158,33,2,28
2158,74,5,19
2158,75,3,13
2158,21,4,13
2158,26,4,14
2158,21,3,16
2158,33,4,29
2158,76,8,8
2158,27,2,8
2158,77,3,19
2158,28,10,14
2158,27,13,16
2158,78,8,19
2158,79,8,19
2158,27,4,19
2158,44,8,13
2158,80,5,13
2158,27,11,15
2158,81,3,10
2515,82,3,9
2515,17,8,30
2515,35,4,30
2515,12,4,24
2515,83,2,31
2515,31,2,9
2515,84,8,11
2515,85,3,24
2515,35,4,9
2515,7,4,11
2515,39,3,24
2515,1,8,9
2515,37,4,30
2515,31,4,11
2515,36,4,24
2515,4,7,24
2515,83,1,24
2515,6,8,11
2694,86,10,32
2694,63,4,32
2694,21,14,33
2694,87,12,32
2694,67,14,33
2694,45,14,33
2694,44,14,33
2695,21,15,34
2695,45,7,34
2788,20,7,13
2788,69,5,14
2788,21,6,13
2788,21,11,15
2792,39,7,22
2792,13,10,22
2792,17,10,22
2792,84,3,22
3136,45,1,16
3136,21,1,16
3136,80,1,16
3301,3,1,2
3301,5,8,6
3301,10,8,35
3301,16,4,23
3301,17,1,17
3301,83,1,17
3301,1,15,18
3301,1,1,22
3301,48,4,2
3301,23,3,1
3301,41,7,35
3301,31,1,18
3301,3,8,1
3301,24,7,6
3301,31,6,23
3301,13,8,17
3301,48,3,1
3301,11,7,6
3301,4,7,23
3301,31,14,17
3301,30,5,1
3301,2,2,1
3301,1,1,1
3301,1,1,23
3301,38,2,23
3301,14,11,17
3573,48,4,35
3573,29,4,5
3573,48,2,4
3573,88,8,5
3573,30,3,5
3573,2,3,5
3573,9,8,5
3573,23,3,4
3573,89,4,5
3573,12,1,4
3573,29,10,1
3573,12,15,6
3573,11,7,6
3573,90,7,35
3573,3,8,1
3573,48,4,1
3573,24,3,6
3593,4,2,23
3593,30,14,1
3593,12,2,6
3593,1,1,17
3593,1,11,1
3593,2,1,1
3593,3,11,1
3593,37,5,6
3593,7,4,23
3593,12,4,17
3593,6,13,23
3593,2,7,18
3593,29,10,1
3593,11,4,6
3593,2,11,17
3593,31,2,18
3593,38,3,18
3641,15,13,4
3641,16,4,1
3641,17,4,6
3641,6,3,23
3641,11,5,17
3641,39,8,17
3641,17,7,17
3641,83,8,17
3641,83,13,23
3642,91,15,24
3641,5,2,4
3641,5,3,1
3641,38,3,6
3641,37,8,4
3641,11,4,4
3641,12,8,4
3641,4,5,1
3641,14,3,6
3642,85,1,24
3642,36,1,24
3642,34,5,24
3641,7,7,1
3641,13,10,17
3641,24,8,4
3641,10,5,25
3641,30,7,1
3641,3,3,1
3641,37,10,6
3641,15,4,6
3641,16,3,23
3641,29,10,23
3642,92,1,24
3845,37,4,4
3845,15,2,4
3845,8,3,1
3845,41,5,23
3845,3,5,5
3845,6,8,1
3845,18,8,6
3845,10,7,5
3845,11,7,6
3845,4,5,23
3845,2,2,5
3845,7,8,5
3845,9,7,5
3845,16,7,1
3845,17,3,6
3845,13,7,6
3845,8,1,5
3845,29,5,4
3845,12,7,6
3864,84,9,17
3864,37,9,17
3864,12,9,17
3864,30,7,23
3864,1,8,23
3864,93,5,23
3864,31,8,23
3864,83,9,17
3864,38,9,17
3864,94,9,17
3874,95,7,12
3874,12,3,12
3874,32,7,12
